Description	Alu-intron	Alu-nearest_tss	Alu-5kb_outside_upstream	Alu-5kb	L1-intron	L1-nearest_tss	L1-5kb_outside_upstream	L1-5kb
developmental cell growth	-0.667022882	0.042557529	0.163268607	-2.923314177	-8.370123842	-3.300573218	-0.740177342	-4.182811503
developmental growth involved in morphogenesis	-1.368877761	0.032930142	0.188491416	-4.976931104	-10.11890996	-4.310047054	-1.217959737	-6.489667855
developmental induction	-3.757442625	-0.852241463	-0.234686541	-5.814687461	-1.464017845	-0.834712012	-0.150377017	-3.285162455
developmental maturation	-0.572874842	0.009520089	0.209467467	-1.461917027	-4.227613297	-3.871244032	-0.480608335	-3.568425443
diencephalon development	-4.273485491	-1.799606654	-1.581353112	-8.282933872	-1.195747693	-0.646982796	-0.30867793	-4.583416478
digestion	-2.802569967	-2.01687202	-1.365727819	-2.756608733	-0.081764603	0.297667704	0.385874228	0.043708264
digestive system development	-5.245143352	-1.358843606	-0.407610086	-8.715695253	-2.548870905	-0.497990596	-0.07301053	-3.010732005
digestive tract development	-7.325279534	-2.330844279	-0.821124624	-10.80720983	-3.084740588	-0.666443543	-0.207359238	-3.557139711
digestive tract morphogenesis	-4.533508693	-1.956258786	-0.630336202	-7.146995698	-2.0924333	-0.590452418	-0.061469564	-2.874751977
diterpenoid metabolic process	-5.182332461	-3.978443167	-6.089662691	-2.237564872	0.218702672	0.474728572	0.067256362	0.697351215
divalent inorganic cation transport	-0.539058194	-0.119549945	-0.248569559	-1.99912693	-1.257396969	-2.269626706	-0.217016817	-2.217218001
divalent metal ion transport	-0.557699862	-0.122380822	-0.254457658	-2.072404797	-1.30376511	-2.325608655	-0.24073815	-2.23402094
DNA alkylation	0.889046653	1.800913208	2.21176055	0.799379035	1.501169246	0.607445438	0.183334988	0.946407799
DNA biosynthetic process	1.395525367	3.533803027	2.001426759	3.731674848	0.716285266	0.089915743	0.046296046	0.426814441
DNA conformation change	2.043286391	1.935402402	0.998223239	3.271276629	2.60884112	1.521546887	0.438289136	3.014350383
DNA damage checkpoint	2.848542256	2.914746913	2.258067254	3.405751348	1.276362662	0.186914396	0.470023967	0.404867709
DNA duplex unwinding	0.68047427	1.427383556	0.344828089	2.14374237	2.648038872	1.213173169	0.226696263	2.757459316
DNA geometric change	0.754890832	1.601664025	0.469528513	2.072404797	2.86996869	1.581135987	0.263180572	2.749313448
DNA integrity checkpoint	3.04463487	3.171867472	2.192886769	3.959500768	1.463015345	0.171164379	0.41718717	0.384520498
DNA methylation	0.889046653	1.800913208	2.21176055	0.799379035	1.501169246	0.607445438	0.183334988	0.946407799
DNA methylation or demethylation	1.309465205	2.17373064	2.762966079	1.027241487	1.018548201	0.316900987	0.209075231	0.408574731
DNA modification	1.374679758	2.272238031	2.519685223	1.677237385	0.928416855	0.267557565	0.229081361	0.372233076
DNA packaging	1.493474617	0.741153648	0.773701763	1.443284062	0.826829772	0.592268601	0.26406717	1.375772276
DNA recombination	2.980545932	4.268182446	2.158682737	4.856962901	3.016174989	0.721353184	0.093976657	2.103554129
DNA replication	3.245857541	4.402935226	2.784790784	4.434175619	0.809441378	-0.009688263	-0.060454146	0.244625061
DNA synthesis involved in DNA repair	1.657461361	2.659579332	1.030778121	3.423370476	1.880233663	0.931224082	0.050693389	2.975859042
DNA-dependent DNA replication	1.412758913	1.988196811	1.142550832	2.14374237	1.000266764	-0.032696985	-0.081679668	0.726321105
"DNA-templated transcription, elongation"	1.932007391	1.358843606	0.322604259	2.671860064	0.398470812	0.137329804	-0.142190562	0.251261372
"DNA-templated transcription, initiation"	1.463120262	2.309885825	1.600317117	1.296159187	-1.773900125	-0.335751484	-0.008970126	-1.357775244
"DNA-templated transcription, termination"	1.419354903	2.142560604	0.752813981	3.991542137	0.920943885	0.465374779	0.088045026	0.437296479
dopaminergic neuron differentiation	-2.606012291	-0.647723249	-0.131642255	-5.03273761	-0.727979684	-0.494514126	-0.065065433	-1.790470851
dorsal spinal cord development	-2.695742485	-1.230954866	-0.09646455	-6.725372539	-1.551168537	-1.572800375	-0.173623889	-1.530891261
dorsal/ventral pattern formation	-1.204757369	-0.297941862	-0.212450727	-4.917211156	-1.426472473	-1.431533338	-0.133672409	-1.384289621
double-strand break repair	2.180774665	2.270369957	1.703971479	3.209055956	1.033994702	0.310916303	0.091337877	1.918024273
double-strand break repair via homologous recombination	1.605658777	1.800913208	1.107663511	2.263638131	0.721839849	0.355577631	0.146941245	2.358076292
drug metabolic process	-2.816499736	-1.990541159	-3.483818433	-1.689056629	2.076218081	2.59324828	0.602015258	1.898799769
ear development	-10.1482057	-3.065138907	-1.483438039	-18.18933894	-8.491726443	-5.494231073	-1.343655756	-14.25421302
ear morphogenesis	-5.033403242	-1.681039087	-0.775299818	-10.43410152	-4.755629678	-3.585612181	-0.82115266	-9.196388952
electron transport chain	3.705525743	3.139109469	1.110315885	6.137564728	0.988147812	1.574375958	0.458519837	1.051341161
embryonic appendage morphogenesis	-3.511011478	-0.912842505	-0.504979699	-7.610385899	-2.003882195	-2.259000306	-0.267245507	-2.845977171
embryonic camera-type eye development	-1.188313027	-0.162527466	0.117562876	-2.084009312	-2.852963692	-2.124717674	-0.297236346	-2.254464411
embryonic camera-type eye morphogenesis	-1.214561403	-0.132975494	0.155262993	-2.756766249	-2.769925805	-2.176866888	-0.476473059	-2.310326361
embryonic cranial skeleton morphogenesis	-0.940994986	-0.084904599	0.038998189	-1.867752639	-3.564967029	-1.264384165	-0.258004512	-1.782648014
embryonic digestive tract development	-1.67645052	-0.899544405	-0.266257178	-4.722371365	-2.444612753	-1.092982436	-0.646692418	-1.704904025
embryonic epithelial tube formation	-0.054187982	0.171759838	0.415344786	-1.110589623	-1.856935302	-2.480053546	-1.3852552	-0.998346019
embryonic eye morphogenesis	-1.935208883	-0.399907884	0.054044703	-4.006736394	-3.044835899	-2.994824293	-0.767168047	-3.653331444
embryonic forelimb morphogenesis	-4.774014404	-1.862831612	-1.492754558	-7.557055567	-0.831843995	-0.625371464	0.014094106	-2.025930805
embryonic hindlimb morphogenesis	-3.932255538	-0.76401009	-0.557300853	-6.2609666	-1.90649756	-1.413887551	-0.644409304	-3.642504017
embryonic limb morphogenesis	-3.511011478	-0.912842505	-0.504979699	-7.610385899	-2.003882195	-2.259000306	-0.267245507	-2.845977171
embryonic organ development	-5.156284516	-1.247563303	0.050579849	-13.00280426	-12.31340192	-6.224664951	-0.884891753	-12.4704554
embryonic organ morphogenesis	-5.748339918	-1.994154579	-0.055271259	-14.27837838	-11.73074834	-7.470467834	-1.437585507	-13.51310386
embryonic skeletal system development	-5.572617316	-3.031986577	-0.327190218	-12.80522131	-10.9498549	-4.27409134	-0.566471669	-7.441106096
embryonic skeletal system morphogenesis	-3.804916454	-1.946219818	-0.134065269	-8.825051491	-6.534575658	-2.971035783	-0.26406717	-5.794567393
endochondral bone growth	-0.89694288	-0.41510305	-0.024444138	-1.591974305	-1.871373549	-2.330068596	-0.960919539	-2.374140104
endochondral bone morphogenesis	-2.391158315	-1.556635549	-0.431021835	-4.901906772	-3.714054741	-3.704280302	-0.905288809	-3.015456571
endochondral ossification	-4.474164549	-2.618981479	-1.358080287	-4.722371365	-2.223200885	-1.325788398	-0.128062175	-1.769559349
endocrine pancreas development	-1.422869535	-0.090395111	-0.014073866	-2.064606392	-0.76591109	-1.148411408	-0.18961467	-2.650735372
endocrine system development	-3.743327285	-0.713505245	-0.144635696	-7.775758244	-4.287703914	-3.264305608	-0.532784647	-8.783705206
endoderm development	-2.33450874	-0.132260017	-0.10006727	-2.818014381	-3.291099374	-1.316016949	-0.387354879	-2.89503256
endoderm formation	-3.48667228	-0.387691771	-0.189467856	-3.112088757	-5.611077806	-1.403914888	-0.63055087	-3.279867547
endodermal cell differentiation	-2.362187462	-0.256481289	-0.182219075	-1.8036266	-7.516857832	-1.254698546	-0.452094159	-3.433225844
endosomal transport	1.973947633	3.666591724	3.828648946	2.782576892	0.978828026	-0.159118539	-0.036028553	0.804027929
endothelial cell chemotaxis	-1.622543727	-0.469549742	-0.863600506	-0.597423873	-2.245597165	-2.950940768	-0.793695559	-1.689356048
endothelial cell differentiation	-0.754076042	0.035052559	0.610821307	-0.972756415	-2.493367175	-1.357008953	-0.350863977	-1.616343678
endothelial cell migration	-2.332194244	-0.013323114	0.08944754	-2.248047117	-6.605194817	-5.568989407	-2.291420147	-4.500134966
endothelium development	-0.483948267	0.073237248	0.388886881	-1.113130986	-2.969316829	-1.660958073	-0.715910129	-1.808762069
ephrin receptor signaling pathway	0.081568156	0.752391309	0.420544887	-0.082911918	-2.521018598	-1.82079381	-0.046993247	-1.674486488
epidermis development	-2.64894571	-3.676691174	-1.717888196	-7.053131809	-2.888679938	-0.601727975	-0.303850364	-2.542272013
epithelial cell differentiation involved in kidney development	-2.041188398	-0.113959442	0.019151442	-4.281681356	-3.581429455	-1.590399398	-0.591741748	-2.311459847
epithelial cell migration	-0.985487649	0.128542148	0.271737641	-1.867681868	-4.442178833	-5.242637635	-1.531496539	-2.997608156
epithelial cell proliferation	-3.805413298	-0.64966883	-0.508180207	-4.201136663	-7.748296808	-4.624633897	-0.927226741	-6.074634398
epithelial structure maintenance	-1.640219109	-1.013307172	-0.381152186	-1.321802512	-1.319174816	-1.050526398	-0.210026637	-0.434949003
epithelial to mesenchymal transition	-2.400610859	-0.4327255	-0.14281849	-3.666014018	-4.231809358	-3.133235388	-0.629314208	-2.230588959
epithelial tube branching involved in lung morphogenesis	-1.185464351	-0.16249388	-0.200529919	-3.014745885	-1.950001265	-0.719364973	-0.616177287	-1.897215494
epithelial tube formation	-0.051136048	0.221474263	0.521815355	-1.10016601	-1.873909997	-2.584808826	-1.42767322	-1.112881747
epithelial tube morphogenesis	-1.910373884	-0.101251756	0.066390278	-7.371255794	-8.130369068	-6.310033662	-2.466513698	-6.184164086
epithelium migration	-1.052012142	0.15033638	0.315111991	-2.03977659	-4.176167323	-5.298133596	-1.613911137	-3.035064448
epoxygenase P450 pathway	-2.977274699	-1.472972711	-2.120031244	-2.00163392	3.930206981	3.508310798	1.399958205	1.772679182
ERK1 and ERK2 cascade	-1.826354282	-0.349294741	0.075718797	-2.748234783	-2.325755204	-0.898007943	-0.410142757	-1.086774874
erythrocyte differentiation	-0.334181778	0.175843692	0.016752552	0.024265361	-2.381670595	-1.459036997	-0.269381804	-1.47089179
erythrocyte homeostasis	-0.218623959	0.213771639	0.139970772	0.128049692	-3.075102536	-1.881352839	-0.299182871	-1.932213229
establishment of organelle localization	2.060279237	4.93672714	3.826552353	3.203526038	-0.188496592	-0.529119791	0.062634584	-0.394203613
establishment of protein localization to endoplasmic reticulum	4.977956721	4.909571912	1.188231286	8.886960887	0.025511709	-0.185780673	-0.130359121	0.012758068
establishment of protein localization to membrane	3.04718965	5.534489973	3.915213437	5.529893436	-0.434293979	-0.573988624	0.012720048	-0.549984585
establishment of RNA localization	4.278156751	5.388358648	3.47446566	4.979138766	1.378427299	0.084179352	-0.059022763	0.971277214
establishment of spindle localization	1.109846488	1.907598021	1.735436583	1.466553361	-0.860883398	-0.629279858	-0.151645798	-0.222379328
establishment or maintenance of cell polarity	1.31864633	3.091753569	2.547297005	0.322046825	-0.919103452	-1.709868087	-0.387996204	-0.860040476
excitatory postsynaptic potential	-1.697576498	-0.371351797	-0.061877034	-3.264520661	-2.001228109	-1.113740866	-0.169359038	-3.866165754
exocrine system development	-1.335040988	-0.064441432	-0.085971508	-1.79354863	-3.564967029	-0.966158721	-0.079648231	-2.358076292
extracellular matrix disassembly	-2.572083105	-1.198589381	-0.763852405	-2.008957058	-2.709449681	-0.626212343	-0.093785815	-1.127769643
extracellular matrix organization	-8.005061839	-3.523110898	-3.003819992	-5.288069934	-10.48801955	-5.576344796	-2.359345526	-5.739360973
extracellular structure organization	-7.553447161	-3.239972217	-2.804526379	-5.169684373	-10.65319471	-5.700915962	-2.469075938	-5.62151594
eye development	-3.950160785	-0.841031512	-0.271006795	-8.175547301	-7.862752859	-9.484327656	-2.163370605	-7.252208566
eye morphogenesis	-4.133377368	-1.244350509	-0.702670721	-7.489903069	-5.812649174	-6.637436339	-1.735519358	-5.052765828
fat cell differentiation	-1.249930381	0.003230685	0.149070588	-1.921656112	-3.397585225	-3.380454716	-1.268247127	-4.583392003
Fc receptor mediated stimulatory signaling pathway	1.4685236	3.410548072	1.875073968	2.158416305	-0.318411463	-0.051560192	0.109862596	0.109727113
Fc receptor signaling pathway	1.344610009	3.755610754	1.487902966	2.797773872	0.174420063	0.010502737	0.091631865	0.150908616
Fc-gamma receptor signaling pathway	1.628842186	3.426263781	1.83689042	2.407005248	-0.201140827	-0.014111926	0.092644268	0.153948121
Fc-gamma receptor signaling pathway involved in phagocytosis	1.628164123	3.458940667	2.041606153	2.367686546	-0.337177802	-0.085634869	0.074550753	0.077224273
female pregnancy	-2.762352537	-2.026643771	-1.318284361	-2.091016716	-0.629783977	-0.650354169	-0.209665842	-0.841375068
female sex differentiation	-0.877673051	-0.138978094	0.023565964	-1.67344527	-2.999882972	-1.090295972	-0.396827549	-1.881310452
filopodium assembly	-0.117571329	0.287878293	0.779737819	-0.838031654	-1.360824089	-2.427182075	-0.191822888	-1.403233871
flavonoid biosynthetic process	-13.1862739	-13.87430809	-9.83663906	-6.717488809	2.879247917	5.793718414	0.680548798	5.666205577
flavonoid glucuronidation	-14.23722588	-16.18539006	-11.44100142	-7.667550187	4.015136258	7.824588134	0.831908294	7.967101508
flavonoid metabolic process	-9.886478833	-9.111758378	-7.969792682	-3.991487944	3.058346054	5.855736301	0.455928334	5.96092696
forebrain development	-4.775233459	-0.940657936	-0.173478017	-15.83158866	-6.256663508	-4.179771396	-0.700328383	-13.20901216
forebrain generation of neurons	-3.031463418	-0.665826875	-0.155723388	-7.649639055	-3.530510124	-0.798225559	-0.090045629	-7.237496686
forebrain neuron differentiation	-3.845081243	-0.906616666	-0.182452794	-8.855884736	-3.966364564	-0.761452239	-0.125621258	-6.490070277
forebrain regionalization	-4.600904777	-0.844369153	-0.439299671	-8.528429256	-2.955524294	-0.872200402	-0.147408798	-3.73011796
forelimb morphogenesis	-4.594404592	-1.605131386	-1.007694494	-7.489294095	-0.661195631	-0.875861027	-0.048636214	-1.881051249
formation of primary germ layer	-3.935893694	-0.430976993	0.045270661	-6.174674264	-5.017519085	-2.751249286	-0.932867538	-4.371765329
formation of translation preinitiation complex	1.1684887	2.620458436	3.017209102	2.499791671	1.082059531	0.588111265	0.004522149	1.353804026
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	-9.211210299	-8.449366107	-5.775957777	-13.62799879	-1.983558473	0.336895969	0.442772889	-1.319103599
G1 DNA damage checkpoint	1.012088898	1.509749608	1.409105472	1.911388573	0.189187494	-0.004414843	0.404005706	-0.012195165
G1/S transition of mitotic cell cycle	0.889260083	2.653626162	1.703155991	1.713286861	0.224942323	-0.211281599	-0.061355257	0.11557615
G2/M transition of mitotic cell cycle	2.33595423	3.791188925	3.557322038	3.405869411	0.599345659	-0.080670504	-0.018892086	0.424115405
gamma-aminobutyric acid signaling pathway	-2.797359946	-1.074635482	-1.911586746	-3.445533917	0.181490228	0.155702905	0.693577768	-0.037959066
gastrulation	-3.404719018	-0.165416017	0.305449956	-5.302364888	-5.426928315	-2.040211509	-0.65127587	-4.44772254
gene silencing	6.741475823	6.157331511	6.089662691	6.213797051	1.029400169	0.367344517	-0.009927579	0.722602023
gene silencing by miRNA	1.911203125	1.898006774	3.107087168	0.840611896	-0.017913215	-0.141958439	-0.151758507	0.058951475
gene silencing by RNA	4.71715126	4.791170089	4.087633461	4.5165013	1.019139884	0.204282385	-0.003613823	0.632000347
generation of precursor metabolites and energy	1.316369995	1.89312531	1.417756662	3.493925137	-0.015794133	0.578021261	0.20460495	-0.586652175
gland development	-8.939010535	-1.64387219	-0.32977814	-11.96000805	-8.809832648	-5.78785073	-0.955759639	-11.13866304
gland morphogenesis	-5.075981515	-1.017638723	-0.349535053	-7.704325632	-7.447374121	-3.313309142	-1.251498492	-4.942050098
glandular epithelial cell differentiation	-5.426298083	-1.136766878	-0.149536003	-5.537246186	-2.78918983	-2.084975451	-0.537983464	-2.600974505
glial cell differentiation	-2.750484172	-0.737884245	-0.014073866	-6.668303683	-6.442463903	-4.230948832	-1.048184748	-5.32637698
gliogenesis	-2.486585418	-0.741153648	0.040322722	-6.179168163	-7.581607487	-4.913850258	-1.399195879	-6.062551716
global genome nucleotide-excision repair	1.260663674	2.043303281	1.153282602	2.889853453	0.887463189	0.852726448	0.077489863	1.443436959
glomerulus development	-1.587886281	-0.374821327	-0.213328241	-4.000727628	-4.246139364	-2.547565441	-0.838025863	-3.830640112
glomerulus vasculature development	-1.306802451	-0.669889716	-0.725824645	-2.08105834	-1.3585206	-1.239640545	-0.310747987	-1.119101738
glucocorticoid biosynthetic process	-2.422536866	-2.363154672	-1.38273159	-3.088792942	-1.28007362	-0.507934301	-0.191822888	-1.312888882
glucocorticoid metabolic process	-1.648004554	-1.576000281	-1.051210906	-1.843481303	-0.394803879	-0.253620696	-0.080591006	-0.71645843
glucuronate metabolic process	-7.871406338	-7.895084253	-6.242338464	-4.168883913	3.629686906	6.173671096	0.51475003	5.861306195
glutamate receptor signaling pathway	-1.395525367	-0.50597886	-0.460853166	-7.040176762	-3.698800967	-1.273992656	0.004146062	-3.787689378
glycosaminoglycan biosynthetic process	-2.192611146	-0.316373719	-0.193156079	-3.088656437	-2.71956611	-1.655458406	-0.323228656	-2.452242492
glycosaminoglycan metabolic process	-3.177497048	-0.742804261	-0.209369515	-3.221245327	-2.391795001	-1.281795293	-0.263180572	-1.356756478
glycosyl compound biosynthetic process	1.666051609	1.616802901	0.486408491	3.566280467	-0.072080349	-0.151391819	0.028397681	0.04274735
glycosyl compound metabolic process	3.778010865	3.589996527	1.490582791	7.482833018	0.314634814	0.278688314	0.123072371	0.608793873
Golgi organization	1.626517773	2.872410988	3.663686253	1.234034142	0.468755807	0.058018056	0.064232474	0.317009771
Golgi vesicle transport	2.038842279	2.028707179	1.505963504	2.380062613	0.257828675	-0.478093246	0.016632877	0.009023943
gonad development	-1.46570631	-0.857620631	-0.06271473	-2.869294327	-1.173746153	-1.018262053	-0.064232474	-1.744001344
hair cycle	-2.060687785	-1.295018099	-0.739040149	-3.282121442	-1.419453988	-0.609210724	-0.101138205	-2.629348795
hair cycle process	-2.386519115	-0.932882638	-0.58708045	-3.514079866	-1.438120242	-0.923832734	-0.26139094	-2.375035952
hair follicle development	-2.386519115	-0.932882638	-0.58708045	-3.514079866	-1.438120242	-0.923832734	-0.26139094	-2.375035952
heart contraction	-4.818351916	-2.062615216	-1.259660771	-8.251865048	-6.201298485	-8.223349654	-1.351289858	-12.85400125
heart development	-1.757419918	0.091658753	0.263909354	-4.372183143	-7.605544188	-6.135597433	-1.354374758	-6.803941279
heart formation	-0.785704251	-0.116125581	0.010120117	-2.791787655	-1.417683894	-0.212925826	-0.024409724	-2.29146032
heart growth	-1.619426358	-0.432108126	-0.387851578	-3.758527382	-4.272577948	-1.821056863	-0.56241088	-2.982671591
heart morphogenesis	-3.277208287	-0.542114439	-0.167915834	-7.262828003	-5.970484221	-4.920947997	-1.176857265	-5.673578957
heart process	-4.775327394	-1.979499216	-1.086953065	-8.170937543	-6.211851432	-8.028161548	-1.277333228	-12.79053368
heart valve development	-2.989526724	-1.084353415	-0.804068141	-5.307682954	-2.63312404	-2.072780629	-0.749794387	-1.69825588
heart valve morphogenesis	-2.00604924	-0.777694677	-0.742582002	-3.741331663	-2.641154948	-2.413015628	-0.943207949	-1.789759809
heterocycle catabolic process	6.145809612	8.636400287	4.235056036	11.41652324	0.379777234	-0.265378158	-0.105721335	-0.044701851
hindbrain development	-0.442632218	-0.036143514	0.024487154	-3.477885605	-0.858016215	-1.675916517	-0.723080683	-3.217857556
hindlimb morphogenesis	-3.703489045	-0.784451274	-0.368202462	-7.132207081	-1.82131973	-1.870239625	-0.83309657	-4.819900425
histone acetylation	1.640219109	2.833439597	3.043676621	1.298381274	0.134659594	0.191631995	0.112363921	-0.03007053
histone lysine methylation	1.627332789	3.583188291	4.555110628	0.960728781	-0.702121316	-1.503269253	-0.772127624	-0.402936479
histone methylation	2.143524499	4.258208039	5.307287036	1.311257017	-0.548585128	-0.796997493	-0.523994468	-0.202185582
histone modification	4.61668327	8.55547986	10.77817914	2.45792961	0.005563367	-0.186914396	-0.018892086	-0.464899266
homophilic cell adhesion via plasma membrane adhesion molecules	-5.30173715	-3.011740515	-0.85335488	-16.42167946	-2.71956611	-0.247820309	-0.254057576	-3.373853079
hormone metabolic process	-3.464377511	-3.455247611	-5.916265696	-3.457041712	-0.154405821	-0.074996144	-0.00049359	-0.095684086
hormone secretion	-4.386510728	-1.884519949	-1.26616674	-5.788333194	-1.91051714	-0.851768414	-0.26406717	-2.273471408
hormone transport	-5.193717495	-2.39172484	-1.757511497	-6.505282951	-1.464855002	-0.599189781	-0.116810895	-1.796250926
humoral immune response	-2.750484172	-6.664834811	-5.603960102	-2.219256311	-0.184659993	0.327850039	0.420612061	0.09850449
immune response-activating cell surface receptor signaling pathway	1.109846488	3.440667556	1.883251873	3.29111695	0.469585328	0.599189781	0.723080683	0.571682088
immune response-activating signal transduction	0.462660137	2.165411624	1.346020183	2.208287598	0.633503317	0.52831667	0.664994071	0.627428253
immune response-regulating cell surface receptor signaling pathway	0.715115892	2.615946253	1.408571363	2.264450554	0.537402589	0.414702746	0.454822605	0.406386624
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	1.628164123	3.458940667	2.041606153	2.367686546	-0.337177802	-0.085634869	0.074550753	0.077224273
import into cell	-2.678048999	-2.071370881	-2.713729143	-1.995756121	-1.91051714	-1.401737952	-0.407684986	-1.232361595
in utero embryonic development	0.04120188	1.79319279	2.894281635	-0.01203053	-1.1536368	-0.959894845	-0.025533894	-1.673840822
innate immune response activating cell surface receptor signaling pathway	0.930032886	2.035673864	1.35865511	2.58866525	2.009884328	0.985552951	0.49996595	0.629720549
inner ear development	-9.747263711	-2.956597291	-1.597636108	-16.96619869	-8.994196566	-4.843251811	-1.415395076	-12.09858112
inner ear morphogenesis	-5.079361398	-1.594979553	-1.085070385	-10.00860863	-6.028363942	-3.474978809	-0.998151739	-8.195580095
inner ear receptor cell differentiation	-1.241957832	-0.229255947	-0.044629097	-2.117246524	-1.879789564	-0.828583509	-0.222722398	-2.613291508
inner ear receptor stereocilium organization	-1.268318902	-0.889581001	-0.593060672	-1.855040433	-1.473693095	-0.961828715	-0.253022052	-2.522553692
inorganic anion transmembrane transport	-6.139422651	-3.319881372	-2.752930705	-4.119880404	-0.217408555	-0.444620863	0.172776968	-0.386812818
inorganic anion transport	-5.681222323	-2.746474913	-3.153153603	-2.8053583	-0.128924657	-0.373870833	0.407684986	-0.575757905
inositol lipid-mediated signaling	-0.290842255	0.529013895	0.283233614	-0.613185929	-2.413228696	-1.777268793	-0.409282902	-1.491914982
insulin secretion	-2.282173619	-1.385690404	-0.687004004	-4.588809325	-1.264705514	-0.887321012	-0.272693034	-1.438511575
insulin-like growth factor receptor signaling pathway	-2.329209065	-0.779881127	-0.207486563	-3.084171228	-1.686007078	-0.308979281	0.13986358	-0.73848425
interferon-gamma-mediated signaling pathway	-1.574239713	-1.838070145	-2.577707641	-0.81748238	0.048067916	0.161884236	0.999882735	-0.083155932
interleukin-17 production	-1.695472942	-1.622935572	-2.417749746	-1.434282702	0.072781697	0.037329222	0.05425911	0.147351766
internal peptidyl-lysine acetylation	1.90200413	2.867005767	2.953511098	1.49989256	0.108742844	0.204282385	0.147373215	-0.065112362
internal protein amino acid acetylation	1.914518268	2.896130908	2.874363739	1.503742764	0.133680487	0.181478049	0.128547103	-0.06223159
intracellular receptor signaling pathway	0.185599206	1.564094777	2.646204021	0.057951131	-1.46230393	-0.883501844	0.016878064	-2.29760945
intracellular signal transduction involved in G1 DNA damage checkpoint	0.844311927	1.35439825	1.434359948	1.586333263	0.202269734	0.012107722	0.383858475	0.030333023
intracellular transport of virus	1.625570795	2.770181911	3.169086027	3.336074183	3.158460305	1.184830334	0.212460808	0.906807015
ionotropic glutamate receptor signaling pathway	-0.4368071	-0.218087831	-0.439897933	-2.550120524	-2.265616866	-0.745367226	-0.038537432	-2.844169849
isoprenoid metabolic process	-3.774366415	-3.420742193	-5.160656057	-1.474121824	0.485716297	0.871965004	0.269136182	0.656553576
keratinization	0.021163541	-6.576492698	-3.885938432	-3.548149268	-0.051835999	4.269128464	0.27864666	0.579713049
kidney development	-10.19175466	-3.13055919	-1.991748963	-14.4035405	-10.88094776	-9.275130359	-3.413040448	-8.466132778
kidney epithelium development	-8.568422454	-2.148317469	-1.027339951	-13.58143716	-7.936393323	-7.678619661	-3.516148799	-7.205149478
kidney mesenchyme development	-2.290867257	-0.691303657	-0.361012127	-3.54307156	-2.090889029	-0.961516509	-0.28252343	-1.387661379
kidney morphogenesis	-6.956668524	-1.6468282	-0.901029295	-13.99979286	-3.987941397	-3.726895073	-1.116258021	-4.379476173
kidney vasculature development	-1.216480986	-0.540755235	-0.676633426	-2.087637431	-2.142145761	-1.492050509	-0.458519837	-1.285598392
learning	-2.193384199	-0.59532093	-0.157272561	-5.780596289	-2.281839442	-1.071409044	-0.207359238	-2.144457243
learning or memory	-2.03108134	-0.52698719	-0.329577613	-4.505860029	-3.426621804	-1.531229936	-0.244209334	-3.135737413
lens development in camera-type eye	-0.793520269	-0.320980723	-0.346233156	-1.775344454	-2.717831922	-2.837247382	-0.736162112	-1.20779999
lens morphogenesis in camera-type eye	-0.733172669	-1.201914994	-0.791632268	-2.93150682	-2.903737682	-2.388898619	-0.606502677	-1.74460501
leukocyte differentiation	-1.658619642	-0.616505706	-0.10907734	-2.341300564	-1.445178109	-0.609210724	-0.547408217	-0.397724792
leukocyte migration	-0.178672563	-0.50163804	-0.388886881	-0.068578346	-1.4232431	-2.740228503	-2.359345526	-0.743907299
leukocyte proliferation	-2.808594417	-1.873098927	-1.266509131	-2.310486926	0.336734786	0.22983239	-0.119227188	1.024877865
limb development	-4.58026802	-1.043427596	-0.407712378	-9.381110273	-3.614465654	-4.714776462	-0.713578295	-4.329400284
limb morphogenesis	-4.254369738	-0.876248831	-0.533568175	-9.740004208	-2.610117025	-3.362559354	-0.564150162	-3.468798609
limbic system development	-0.775435079	-0.109262616	0.201716199	-2.904722551	-1.437138529	-0.333699926	0.008970126	-2.80942257
locomotory behavior	-2.296006775	-1.606514034	-0.676941031	-7.30056888	-3.519258852	-4.734207486	-0.953729091	-1.808399293
lung development	-1.771854183	-0.047906693	0.195515602	-3.855511591	-2.371508312	-2.355388884	-0.579863218	-5.728239093
lung epithelium development	-0.769498977	-0.007800045	0.188491416	-1.832417747	-2.780858516	-2.727515844	-1.471750336	-2.403582535
lung morphogenesis	-0.890082039	-0.001939374	0.046863339	-1.880254111	-3.395779969	-2.385920755	-0.863161953	-4.227717778
lymphocyte proliferation	-2.37274287	-1.550659881	-1.110832145	-1.948988503	0.419199108	0.20365155	-0.108812109	1.050547064
macroautophagy	3.629214748	3.455738339	2.88050151	4.571253068	0.469585328	-0.262753405	-0.056661481	0.599792046
macromolecular complex disassembly	2.274753135	2.375253077	1.546121593	2.820622295	0.108030299	-0.168556276	-0.092103766	-0.050487104
macromolecule methylation	3.356192221	5.988375508	6.229598189	3.076910292	0.332715144	-0.098511157	-0.064232474	0.201800737
maintenance of cell number	0.561570392	1.620911228	1.533578773	-0.06765775	-2.686691125	-3.598725248	-1.252037367	-2.310326361
mammary gland alveolus development	-2.524897907	-1.512381817	-0.895411366	-4.081608081	-0.459445938	-0.164713657	0.031345711	-0.599792046
mammary gland development	-4.271510752	-0.853273942	-0.167661949	-5.851018712	-1.766629487	-1.870239625	-0.259569521	-4.075754179
